,Client ID,Client tenure year,Client tenure month,Age,Gender,Number of accounts,Balance,Calls 6 months,Log-ons 6 months,Age Group,Tenure Groups
133,5115750,22,271,62,F,4,351838,1,4,Senior,Young
134,7885704,20,244,65,F,2,34564,0,3,Senior,Young
135,2876901,4,58,54,U,2,47348,0,3,Adult,New
136,2365190,5,66,29,U,3,30376,3,6,Adult,New
137,4516383,8,99,45,U,2,91159,6,9,Adult,New
138,730546,16,200,51,F,2,33972,3,6,Adult,Noob
139,1860982,7,94,51,U,2,98988,0,3,Adult,New
140,1945276,16,193,50,M,2,91623,1,4,Adult,Noob
141,1525212,13,157,33,F,2,72424,6,9,Adult,Noob
142,7139038,6,78,39,U,2,31918,3,6,Adult,New
143,3678422,17,204,33,M,3,339660,6,9,Adult,Noob
144,121354,5,60,30,U,2,35592,5,8,Adult,New
145,7597197,12,151,33,F,2,60175,2,5,Adult,Noob
146,8806527,10,121,28,U,2,55742,5,8,Adult,New
147,4561742,15,184,44,M,3,240993,3,6,Adult,Noob
148,8011247,5,60,59,M,2,31921,6,9,Adult,New
149,6689398,27,335,68,M,2,89224,3,6,Senior,Young
150,5416822,14,168,39,M,2,40549,1,4,Adult,Noob
151,3093790,29,357,69,F,2,107604,3,6,Senior,Young
152,9625688,9,111,35,M,2,91643,2,5,Adult,New
153,7280817,15,185,54,M,2,192518,6,9,Adult,Noob
154,6055529,6,76,27,U,2,48601,2,5,Adult,New
155,6679780,5,68,71,F,2,36978,3,6,Senior,New
156,2668008,6,73,34,U,2,38654,3,6,Adult,New
157,9247669,6,81,38,U,3,414323,6,9,Adult,New
158,7704754,12,148,25,M,2,31514,5,8,Adult,Noob
159,3455403,8,99,55,M,2,73520,4,7,Adult,New
160,3930919,10,129,35,M,2,64113,0,3,Adult,New
161,2615801,5,60,27,U,3,72480,5,8,Adult,New
162,4110312,8,97,66,U,2,36933,4,7,Senior,New
163,7794321,12,152,28,M,2,37879,3,6,Adult,Noob
164,1165994,5,63,69,U,2,226833,2,5,Senior,New
165,5650730,10,122,43,M,2,474954,5,8,Adult,New
166,7695537,6,83,54,U,2,174976,1,4,Adult,New
167,3545210,28,347,83,F,2,47993,2,5,Senior,Young
168,4149206,27,324,56,F,2,27023,1,4,Adult,Young
169,3431014,13,162,43,M,2,163374,3,6,Adult,Noob
170,8972482,16,194,62,M,3,396305,6,9,Senior,Noob
171,151444,7,95,31,U,2,34814,5,8,Adult,New
172,3778929,13,156,59,F,2,300637,5,8,Adult,Noob
173,9341975,8,97,26,U,2,28038,6,9,Adult,New
174,9070908,6,83,54,U,2,55787,0,3,Adult,New
175,3070720,6,74,29,U,3,47151,2,5,Adult,New
176,1840230,6,82,29,U,2,163702,6,9,Adult,New
177,4761400,15,190,56,F,2,71982,2,5,Adult,Noob
178,312094,4,56,21,U,2,58108,3,6,Adult,New
179,9435892,17,204,47,M,2,86797,6,9,Adult,Noob
180,3270955,6,81,74,U,2,37672,3,6,Senior,New
181,6840204,7,95,58,U,2,31129,3,6,Adult,New
182,8971654,15,186,61,F,2,71995,3,6,Senior,Noob
183,7288041,25,300,32,F,3,43742,6,9,Adult,Young
184,3143881,24,289,51,F,2,53080,6,9,Adult,Young
185,340192,24,295,73,F,2,321351,6,9,Senior,Young
186,7845532,23,282,71,F,2,187639,4,7,Senior,Young
187,4447192,22,270,59,M,2,40191,3,6,Adult,Young
188,5119615,20,246,48,F,2,243282,1,4,Adult,Young
189,976546,19,229,38,M,4,59503,5,8,Adult,Noob
190,4644384,17,206,57,U,2,35975,3,6,Adult,Noob
191,4028430,9,109,60,M,2,87207,6,9,Adult,New
192,2519481,28,343,60,M,2,143769,5,8,Adult,Young
193,4412954,5,66,21,U,2,101928,6,9,Adult,New
194,9635691,4,59,46,U,2,31486,6,9,Adult,New
195,3362778,10,130,61,F,2,127314,6,9,Senior,New
196,5687972,14,176,34,M,2,24919,0,3,Adult,Noob
197,8676893,9,116,60,F,2,88968,1,5,Adult,New
198,4399072,27,329,57,F,3,117836,3,6,Adult,Young
199,7705023,12,144,44,F,2,60526,0,3,Adult,Noob
200,4260236,12,155,60,F,2,58615,0,4,Adult,Noob
201,8368220,7,93,28,U,2,36539,1,4,Adult,New
202,6929446,28,347,83,M,2,326957,0,3,Senior,Young
203,1524426,8,99,36,U,2,53131,2,5,Adult,New
204,1105924,13,161,52,F,3,96007,5,8,Adult,Noob
205,6770720,14,179,62,M,2,1907094,4,8,Senior,Noob
206,5572217,8,106,47,F,2,30552,2,5,Adult,New
207,3604010,5,70,52,U,2,32731,1,4,Adult,New
208,8506583,6,81,27,F,2,51726,6,9,Adult,New
209,4853148,9,109,61,F,2,190619,2,5,Senior,New
210,425532,5,67,42,U,4,112715,6,9,Adult,New
211,7307378,12,154,69,M,2,36397,0,3,Senior,Noob
212,929350,9,111,72,M,3,190530,5,8,Senior,New
213,1435050,15,189,52,F,2,1589727,1,4,Adult,Noob
214,929038,8,99,60,U,3,125733,6,9,Adult,New
215,5205837,9,119,56,M,2,114022,5,8,Adult,New
216,5754354,15,185,38,F,2,34866,0,3,Adult,Noob
217,4231609,6,75,45,U,2,39335,2,5,Adult,New
218,493194,6,75,57,U,2,66942,2,5,Adult,New
219,3706067,6,81,76,U,2,167990,3,6,Senior,New
220,5474772,8,106,66,F,2,168966,4,7,Senior,New
221,3937930,5,66,66,U,2,430081,3,6,Senior,New
222,4088467,13,166,36,F,2,103756,0,3,Adult,Noob
223,3767937,15,189,53,M,2,47734,3,6,Adult,Noob
224,278839,11,143,62,F,2,33051,1,4,Senior,Noob
225,9989642,6,78,63,U,2,202064,5,8,Senior,New
226,8789491,5,69,22,U,2,40487,2,5,Adult,New
227,692622,4,59,25,U,2,31803,3,6,Adult,New
228,8253877,16,202,36,M,2,120874,6,9,Adult,Noob
229,1168373,27,326,61,M,3,57600,5,8,Senior,Young
230,5981232,24,298,44,F,2,26837,3,6,Adult,Young
231,461846,24,290,78,F,2,43246,4,7,Senior,Young
232,9821262,23,285,65,M,3,1141653,3,6,Senior,Young
233,416346,23,279,59,F,2,216389,2,5,Adult,Young
234,7185880,21,252,48,M,2,96721,6,9,Adult,Young
235,3460496,20,250,62,F,2,31438,1,4,Senior,Young
236,39968,4,57,50,F,2,58599,3,6,Adult,New
237,9262445,7,88,47,U,2,29672,1,4,Adult,New
238,171583,15,190,44,F,2,125100,6,9,Adult,Noob
239,8730282,27,334,50,F,3,464879,2,5,Adult,Young
240,7412471,12,150,27,F,4,144559,6,9,Adult,Noob
241,86877,4,58,28,U,2,40308,1,4,Adult,New
242,7669500,3,46,58,U,3,64159,1,4,Adult,New
243,6488984,9,114,40,M,2,73552,0,3,Adult,New
244,327151,14,174,74,M,5,214762,1,4,Senior,Noob
245,1413769,13,162,55,F,3,48092,1,4,Adult,Noob
246,3246979,6,72,57,F,2,264334,6,9,Adult,New
247,7056174,8,107,60,F,2,433799,6,9,Adult,New
248,7205884,15,190,25,F,2,34281,0,3,Adult,Noob
249,6201791,27,324,66,M,2,51930,5,8,Senior,Young
250,3527743,6,76,21,U,2,27047,2,5,Adult,New
251,7018468,9,113,27,M,4,106785,2,5,Adult,New
252,1949872,13,164,37,M,3,132243,6,9,Adult,Noob
253,1056722,10,131,51,M,2,45437,0,3,Adult,New
254,1887639,15,190,67,U,2,174510,3,6,Senior,Noob
255,7153152,6,75,44,U,3,207071,6,9,Adult,New
256,1897278,5,65,41,M,2,63939,4,7,Adult,New
257,820519,5,63,60,M,2,384904,3,6,Adult,New
258,4653489,6,82,46,U,2,31650,1,4,Adult,New
259,3660141,4,59,23,U,2,37244,6,9,Adult,New
260,6815257,46,554,72,M,2,92157,1,4,Senior,Senior
261,9767681,6,82,47,U,2,50914,6,9,Adult,New
262,4474907,6,83,32,U,2,31930,0,3,Adult,New
263,6717435,6,83,45,U,3,99839,2,5,Adult,New
264,6958124,10,129,59,M,3,148741,2,6,Adult,New
265,5869570,11,140,47,M,2,25084,1,4,Adult,Noob
266,979208,5,69,20,U,2,29760,0,3,Adult,New
267,681824,9,118,33,F,2,34537,1,4,Adult,New
268,9006366,5,70,25,M,2,46898,6,9,Adult,New
269,8274863,6,73,27,U,2,31559,6,9,Adult,New
270,4055202,10,131,29,M,2,118923,6,9,Adult,New
271,9358802,14,175,33,F,2,109642,6,9,Adult,Noob
272,5749370,4,59,22,U,2,50677,6,9,Adult,New
273,8333682,8,107,34,F,2,36660,0,3,Adult,New
274,203223,24,292,60,M,3,1113383,6,9,Adult,Young
275,9153853,22,273,42,M,2,97065,6,9,Adult,Young
276,9546409,21,257,27,M,3,117906,6,9,Adult,Young
277,3544760,21,254,55,M,2,122671,0,3,Adult,Young
278,9308901,20,246,42,F,2,41536,2,5,Adult,Young
279,72395,18,225,48,M,2,208866,4,7,Adult,Noob
280,2346575,15,190,75,M,2,61693,4,7,Senior,Noob
281,7995744,15,182,39,M,2,57533,3,6,Adult,Noob
282,5078188,11,142,31,F,2,49445,5,8,Adult,Noob
283,6250726,5,65,71,U,2,40124,0,3,Senior,New
284,7434562,10,128,74,F,2,25963,2,6,Senior,New
285,4877364,12,155,76,M,4,2141137,0,3,Senior,Noob
286,3736142,7,86,43,U,2,45584,0,3,Adult,New
287,9863604,5,65,40,U,2,36436,3,6,Adult,New
288,8284433,10,131,63,M,2,53551,6,9,Senior,New
289,7183351,8,96,28,U,2,78197,2,5,Adult,New
290,3959099,11,135,32,M,2,48712,5,8,Adult,Noob
291,4362459,21,258,65,F,2,35035,6,9,Senior,Young
292,3083365,7,86,72,U,2,1260146,5,8,Senior,New
293,556698,4,56,57,U,2,164270,2,5,Adult,New
294,4333518,10,126,32,M,2,39164,6,9,Adult,New
295,6540065,7,91,63,U,2,52180,3,6,Senior,New
296,1646150,5,67,66,M,2,361345,6,9,Senior,New
297,6550550,5,67,58,F,2,32744,3,6,Adult,New
298,4319069,14,175,24,M,3,55169,2,5,Adult,Noob
299,5931603,5,66,31,U,2,66328,2,5,Adult,New
300,2938423,6,72,36,U,2,25590,6,9,Adult,New
301,2215051,12,154,66,F,3,122246,6,9,Senior,Noob
302,2952627,5,70,46,M,2,34979,2,5,Adult,New
303,2790667,4,58,22,U,2,44144,1,4,Adult,New
304,9027736,10,130,79,F,2,217728,4,7,Senior,New
305,7240133,7,92,65,M,3,62814,3,6,Senior,New
306,6196555,4,56,69,U,3,310089,6,9,Senior,New
307,6012640,29,359,59,F,2,89726,2,5,Adult,Young
308,5966661,5,71,29,U,2,39556,1,4,Adult,New
309,1820934,5,70,40,U,2,40535,0,3,Adult,New
310,7190256,8,106,31,F,2,53434,6,9,Adult,New
311,9048757,15,190,60,F,2,591058,0,3,Adult,Noob
312,5937897,17,210,63,M,2,482055,0,3,Senior,Noob
313,560810,14,176,34,F,3,57175,2,5,Adult,Noob
314,704762,6,82,27,U,3,83788,6,9,Adult,New
315,1350724,4,58,42,U,2,38033,0,3,Adult,New
316,9234234,8,103,26,M,2,65872,6,9,Adult,New
317,6765972,7,85,56,U,2,24701,5,8,Adult,New
318,8037116,4,58,23,U,2,30552,0,3,Adult,New
319,2754680,7,89,41,U,2,247752,2,5,Adult,New
320,8984143,14,168,40,M,2,26248,2,5,Adult,Noob
321,9797884,5,65,61,U,3,77371,6,9,Senior,New
322,7680980,13,159,23,M,3,117685,6,9,Adult,Noob
323,4928575,25,305,60,F,2,30975,0,3,Adult,Young
324,2406021,23,286,49,M,2,483324,4,7,Adult,Young
325,1908158,21,263,66,F,2,161959,2,5,Senior,Young
326,881563,21,262,49,M,2,477340,5,8,Adult,Young
327,2653016,21,258,53,F,2,273573,1,4,Adult,Young
328,548340,21,255,46,U,2,38001,2,5,Adult,Young
329,2609914,17,214,45,F,3,79648,0,3,Adult,Noob
330,3055755,17,212,44,F,2,59154,6,9,Adult,Noob
331,8798149,16,198,50,F,3,218582,0,3,Adult,Noob
332,4278502,10,131,23,F,2,86769,2,5,Adult,New
333,5004793,25,310,59,F,3,90540,1,6,Adult,Young
334,1040359,5,63,47,U,3,50844,2,5,Adult,New
335,1334827,11,141,38,F,2,76572,0,3,Adult,Noob
336,8945610,26,319,71,F,2,170208,3,6,Senior,Young
337,9371037,32,395,68,M,3,181523,2,6,Senior,Experimented
338,2509909,9,108,56,M,3,120915,6,9,Adult,New
339,2600705,15,181,61,F,2,1278380,6,9,Senior,Noob
340,3442959,14,173,34,F,2,35656,6,9,Adult,Noob
341,9207047,16,202,49,F,2,29978,0,3,Adult,Noob
342,3991847,5,65,33,U,2,28189,2,5,Adult,New
343,2959476,9,119,59,F,2,47887,6,9,Adult,New
344,973686,10,130,28,M,3,44990,1,4,Adult,New
345,7988248,15,189,51,M,2,42138,6,9,Adult,Noob
346,3158341,27,324,71,M,3,1581691,6,9,Senior,Young
347,9373092,5,68,39,F,2,59201,5,8,Adult,New
348,7561241,5,71,55,U,3,1475524,3,6,Adult,New
349,3590454,20,242,68,F,2,156109,6,9,Senior,Young
350,4374343,4,55,53,F,2,180359,2,5,Adult,New
351,1025015,16,203,46,M,2,163637,5,8,Adult,Noob
352,6524861,5,63,65,F,2,162005,0,3,Senior,New
353,3668675,6,81,48,F,2,48875,2,5,Adult,New
354,8257047,24,297,24,M,2,34710,2,5,Adult,Young
355,1753961,4,57,49,U,2,48917,2,5,Adult,New
356,9432051,7,92,39,U,2,99532,3,6,Adult,New
357,9591707,11,140,49,M,2,34721,3,6,Adult,Noob
358,5522802,4,57,39,U,3,66114,4,7,Adult,New
359,5319506,5,60,33,U,2,44387,3,6,Adult,New
360,6399171,19,239,58,M,2,119445,5,8,Adult,Noob
361,7569257,4,59,54,F,2,33294,2,5,Adult,New
362,547839,11,141,44,F,2,75677,6,9,Adult,Noob
363,5781524,5,71,42,U,3,55532,2,5,Adult,New
364,6286537,7,91,27,U,2,31480,1,4,Adult,New
365,2529465,9,116,35,M,2,60796,6,9,Adult,New
366,4937056,14,172,19,M,4,65365,0,3,Adult,Noob
367,3132961,9,119,58,F,2,23790,6,9,Adult,New
368,6248651,17,213,45,M,2,24110,6,9,Adult,Noob
369,7187827,15,183,45,F,2,156436,3,6,Adult,Noob
370,9516559,9,115,29,M,2,32127,5,8,Adult,New
371,2166490,9,117,63,F,2,249320,4,7,Senior,New
372,9876315,11,140,56,F,2,121203,3,6,Adult,Noob
373,9795687,14,168,69,M,2,65376,3,6,Senior,Noob
374,3573589,11,136,46,M,2,57971,3,6,Adult,Noob
375,6082639,24,299,52,M,5,208786,2,5,Adult,Young
376,8163796,23,287,62,F,2,126817,3,6,Senior,Young
377,3191374,23,286,37,F,2,57619,6,9,Adult,Young
378,3334174,22,269,31,M,4,238363,4,7,Adult,Young
379,2057447,20,250,40,F,2,55884,0,3,Adult,Young
380,3778920,21,253,61,F,2,33825,4,7,Senior,Young
381,4834461,23,287,55,M,2,522457,3,6,Adult,Young
382,2365886,21,253,75,M,3,234993,4,7,Senior,Young
383,4848480,18,223,27,M,2,34901,6,9,Adult,Noob
384,7656967,18,222,60,F,3,458857,6,9,Adult,Noob
385,6559072,16,203,54,F,2,54249,3,6,Adult,Noob
386,2960870,11,136,66,F,2,190176,2,5,Senior,Noob
387,399690,16,195,80,M,2,34994,4,7,Senior,Noob
388,3319565,10,127,48,M,2,23985,6,9,Adult,New
389,470365,20,242,44,M,2,35829,1,4,Adult,Young
390,5769715,20,245,75,M,2,75862,6,9,Senior,Young
391,8336549,12,154,32,F,2,115872,2,5,Adult,Noob
392,7313442,14,173,23,M,3,72468,6,9,Adult,Noob
393,327337,15,187,73,M,2,699374,6,9,Senior,Noob
394,4296369,4,57,24,U,2,29708,1,4,Adult,New
395,1830058,15,186,70,F,2,1823190,5,8,Senior,Noob
396,3337300,11,140,57,F,2,23809,2,5,Adult,Noob
397,272484,14,169,48,M,3,302145,6,9,Adult,Noob
398,6666419,9,110,44,M,2,29272,5,8,Adult,New
399,8830618,5,70,28,U,2,42213,5,8,Adult,New
400,8306917,11,143,60,F,4,358021,6,9,Adult,Noob
401,8068242,15,189,47,U,2,123841,4,7,Adult,Noob
402,2697914,15,186,36,U,2,77452,3,6,Adult,Noob
403,8730685,19,228,71,M,2,236328,0,3,Senior,Noob
404,5894819,8,102,67,U,2,88612,6,9,Senior,New
405,3539231,6,72,26,U,2,60709,1,4,Adult,New
406,9484909,7,94,20,U,2,51542,0,3,Adult,New
407,695585,15,184,46,M,2,121101,2,5,Adult,Noob
408,2485287,17,204,60,M,2,190218,4,7,Adult,Noob
409,736752,12,155,34,M,2,74871,1,4,Adult,Noob
410,1597883,5,70,25,U,2,48374,5,8,Adult,New
411,675111,7,93,29,U,2,53545,3,6,Adult,New
412,5116128,10,121,49,F,3,970272,3,6,Adult,New
413,3194104,7,89,27,U,2,34921,6,9,Adult,New
414,7151522,9,111,67,F,3,216668,6,9,Senior,New
415,3319635,7,88,52,U,2,100239,6,9,Adult,New
416,3197890,5,68,50,U,2,33357,6,9,Adult,New
417,28857,14,178,52,M,2,104511,3,6,Adult,Noob
418,6334676,3,47,35,U,3,175190,5,8,Adult,New
419,7781717,10,130,26,F,2,77832,1,4,Adult,New
420,1465714,11,143,63,F,2,867380,0,3,Senior,Noob
421,6020962,13,167,28,M,2,98550,3,6,Adult,Noob
422,2472976,4,54,67,F,2,661718,5,8,Senior,New
423,7020609,28,347,60,F,3,333574,1,4,Adult,Young
424,2956739,4,59,53,U,2,28462,2,5,Adult,New
425,5517122,14,174,57,M,2,132760,6,9,Adult,Noob
426,1241733,8,105,31,F,3,36977,0,3,Adult,New
427,4458772,12,144,62,U,2,34751,1,4,Senior,Noob
428,242235,23,287,44,M,2,205171,5,8,Adult,Young
429,8544599,23,277,56,F,2,36103,1,4,Adult,Young
430,793692,23,276,59,M,2,62786,4,7,Adult,Young
431,595241,22,274,49,F,2,27579,2,5,Adult,Young
432,9590571,21,253,72,M,2,265461,0,4,Senior,Young
433,6206582,21,252,43,F,2,129093,2,5,Adult,Young
434,5954855,20,250,35,M,4,264983,2,5,Adult,Young
435,5076263,20,249,39,M,2,116576,3,6,Adult,Young
436,9957845,24,297,61,F,2,110140,4,7,Senior,Young
437,509544,19,228,52,F,2,27084,1,4,Adult,Noob
438,8969191,18,222,49,M,2,132946,2,5,Adult,Noob
439,1288843,18,221,62,U,2,163709,1,4,Senior,Noob
440,4319222,5,66,31,F,3,33047,0,3,Adult,New
441,9092174,9,116,28,M,2,67734,4,7,Adult,New
442,3086399,16,194,48,M,2,166456,6,9,Adult,Noob
443,730801,12,147,51,M,2,47511,3,6,Adult,Noob
444,5552968,6,81,46,U,2,24268,4,7,Adult,New
445,4366496,11,140,26,M,3,315341,6,9,Adult,Noob
446,6615925,11,140,32,M,2,38937,2,5,Adult,Noob
447,9493249,21,257,73,F,2,89903,2,5,Senior,Young
448,3290004,12,153,30,F,2,81594,1,4,Adult,Noob
449,4866771,6,78,87,U,2,41797,6,9,Senior,New
450,9517536,5,60,27,U,2,56202,6,9,Adult,New
451,5293569,7,84,46,U,2,29224,1,4,Adult,New
452,9754728,7,86,40,U,2,128306,4,7,Adult,New
453,3777909,4,57,54,U,3,48953,0,3,Adult,New
454,2515665,10,121,63,F,2,46489,2,5,Senior,New
455,198935,4,56,65,U,2,61573,3,6,Senior,New
456,2449759,9,116,61,F,2,117408,1,4,Senior,New
457,6641855,8,97,33,U,2,81186,4,7,Adult,New
458,3874169,11,132,37,F,2,63217,3,6,Adult,Noob
459,392459,26,312,57,U,3,172748,6,9,Adult,Young
460,3806151,9,109,43,M,2,157278,1,4,Adult,New
461,7414306,6,79,66,U,2,65259,1,4,Senior,New
462,9295772,5,64,51,M,2,26280,4,7,Adult,New
463,3887490,5,71,39,U,2,59466,2,5,Adult,New
464,9138140,6,73,32,U,2,45754,1,4,Adult,New
465,1346,14,177,46,F,2,822512,3,6,Adult,Noob
